店舗名,住所,電話番号,HP,詳細URL
サイゼリヤ そよら海老江店,大阪府 大阪市福島区 海老江 1-5-52 そよら海老江 1F,,,https://tabelog.com/osaka/A2701/A270108/27149664/
輝寿家,大阪府 大阪市福島区 福島 7-7-28,06-6454-0303,,https://tabelog.com/osaka/A2701/A270108/27021877/
LA・CANTINETTA・MODENA（ラカンティネッタモデナ）,大阪府 大阪市福島区 海老江 5-1-8 葦田ビル 2F,06-6457-3175,https://ciao-modena-2002.favy.jp/,https://tabelog.com/osaka/A2701/A270108/27016135/
ヴィンカ ロゼア,大阪府 大阪市福島区 福島 2-2-7 谷井ビル 1F,06-6743-4959,,https://tabelog.com/osaka/A2701/A270108/27129513/
丸忠 大阪中央卸売市場,大阪府 大阪市福島区 野田 1-1-86 大阪市中央卸売市場,06-6469-7272,,https://tabelog.com/osaka/A2701/A270108/27082215/
リーガロイヤルホテル大阪,大阪府 大阪市北区 中之島 5-3-68 リーガロイヤルホテル,06-6448-1121,http://www.rihga.co.jp/osaka/,https://tabelog.com/osaka/A2701/A270108/27018676/
丑乃匠（ウシノショウ）,大阪府 大阪市福島区 福島 1-4-41,06-6451-2989,,https://tabelog.com/osaka/A2701/A270108/27006721/
竹内酒店,大阪府 大阪市福島区 福島 6-3-9,06-6451-1047,,https://tabelog.com/osaka/A2701/A270108/27084514/
いしもん,大阪府 大阪市福島区 福島 1-6-11,06-4795-8558,https://www.ishimon.com/brands/ishimon/shops/fukushima/,https://tabelog.com/osaka/A2701/A270108/27127688/
蕎麦 大一大万大吉,大阪府 大阪市福島区 大開 1-6-23,06-7508-8599,,https://tabelog.com/osaka/A2701/A270108/27137583/
菓匠 芭蕉堂 新橋店,大阪府 大阪市福島区 吉野 2-13-17,06-6444-0151,http://www.bashoudo.com/shop/index.htm,https://tabelog.com/osaka/A2701/A270108/27112218/
もつ鍋 ふくみ屋 野田店（ふくみや）,大阪府 大阪市福島区 野田 3-12-21,06-6460-8180,https://fukumiya-2938.com/,https://tabelog.com/osaka/A2701/A270108/27034756/
ファミーユ 海老江店,大阪府 大阪市福島区 海老江 5-2-2,06-6131-6846,https://www.fami11e.com/,https://tabelog.com/osaka/A2701/A270108/27099202/
bar equinoxe（バー エキノックス）,大阪府 大阪市福島区 鷺洲 2-15-32,090-4641-0910,,https://tabelog.com/osaka/A2701/A270108/27126391/
ふくみ屋 焼肉野田店（【旧店名】九淡）,大阪府 大阪市福島区 吉野 3-1-26,06-6464-3339,https://fukumiya-2938.com/,https://tabelog.com/osaka/A2701/A270108/27042597/
元禄寿司 野田店,大阪府 大阪市福島区 吉野 2-15-8 野田新橋商店街内,06-6446-0275,http://www.mawaru-genrokuzusi.co.jp,https://tabelog.com/osaka/A2701/A270108/27044753/
まぐろ・ふぐ 満海（まんかい）,大阪府 大阪市福島区 大開 1-13-31,06-6468-5700,http://maguro-mankai.net/,https://tabelog.com/osaka/A2701/A270108/27013848/
焼肉やっちゃん 分店 JR野田駅前店（【旧店名】焼肉 だいちゃん）,大阪府 大阪市福島区 野田 3-13-20,090-4279-1804,,https://tabelog.com/osaka/A2701/A270108/27083208/
鮨 千陽,大阪府 大阪市福島区 福島 5-12-14 コーポ福島 1F,06-6450-8685,https://sushi-chiharu.jp/,https://tabelog.com/osaka/A2701/A270108/27083232/
ラーメン人生JET（ラーメン人生ジェット）,大阪府 大阪市福島区 福島 7-12-2,06-6345-7855,https://jetjpn.base.shop,https://tabelog.com/osaka/A2701/A270108/27050827/
旧ヤム邸 中之島洋館,大阪府 大阪市北区 中之島 3-6-32 ダイビル本館 2F,06-6136-6600,,https://tabelog.com/osaka/A2701/A270108/27073991/
焼き菓子とワイン mano a mano（マノアマノ）,大阪府 大阪市福島区 吉野 2-15-3 サンシャインビル 1F,06-6690-8220,,https://tabelog.com/osaka/A2701/A270108/27138908/
中華 女児紅（チュウカ ジョジコウ）,大阪府 大阪市北区 梅田 3-4-5 毎日新聞ビル B1F,050-5592-5150,,https://tabelog.com/osaka/A2701/A270108/27087474/
山田,大阪府 大阪市福島区 福島 7-6-9 アレックスビル　1F,06-6451-0800,,https://tabelog.com/osaka/A2701/A270108/27077722/
焼肉千成,大阪府 大阪市福島区 吉野 5-14-17,06-6463-2911,,https://tabelog.com/osaka/A2701/A270108/27046918/
四季 おりおり,大阪府 大阪市福島区 吉野 2丁目8-10,06-6441-3120,,https://tabelog.com/osaka/A2701/A270108/27062009/
大阪王将 福島店,大阪府 大阪市福島区 福島 5-6-18,06-6442-1921,,https://tabelog.com/osaka/A2701/A270108/27043524/
まんかい 福島本家,大阪府 大阪市福島区 福島 7-13-11 1F,06-6346-3901,http://www.ramen-mankai.com/,https://tabelog.com/osaka/A2701/A270108/27075486/
川繁（かわしげ）,大阪府 大阪市福島区 吉野 2-14-18,06-6441-4127,,https://tabelog.com/osaka/A2701/A270108/27014198/
千逢途はなれ（ちあーず）,大阪府 大阪市福島区 大開 1-5-32,06-7777-5141,,https://tabelog.com/osaka/A2701/A270108/27140833/
鮨ゆう元,大阪府 大阪市福島区 福島 2-10-22,06-7777-5640,,https://tabelog.com/osaka/A2701/A270108/27136365/
馨 らーめん 野田阪神店,大阪府 大阪市福島区 吉野 1-8-12,06-6147-2982,,https://tabelog.com/osaka/A2701/A270108/27127968/
黒毛和牛　焼肉　一 野田阪神店,大阪府 大阪市福島区 吉野 1-20-25 レジデンス野田阪神　1F,050-5456-3962,http://yakinikuichi-nodahanshin.owst.jp,https://tabelog.com/osaka/A2701/A270108/27020142/
とんかつ道場 野田阪神店,大阪府 大阪市福島区 吉野 2-15-20,06-7710-6641,,https://tabelog.com/osaka/A2701/A270108/27118913/
餃子屋 弐ノ弐 福島店,大阪府 大阪市福島区 福島 5-14-6 福島阪神クレセントビル,06-6676-8022,,https://tabelog.com/osaka/A2701/A270108/27138516/
Tyrni,大阪府 大阪市福島区 吉野 1-22-28 ヒラノビル 1F,06-6445-3113,,https://tabelog.com/osaka/A2701/A270108/27115191/
麺屋カワマル 野田阪神店,大阪府 大阪市福島区 大開 1-15-24 1F,06-6461-4720,,https://tabelog.com/osaka/A2701/A270108/27134598/
ぱすた屋しかちゃん,大阪府 大阪市福島区 福島 7-11-51,,,https://tabelog.com/osaka/A2701/A270108/27143518/
鮨 聖心,大阪府 大阪市福島区 鷺洲 2-11-24 セントヒル 101,,,https://tabelog.com/osaka/A2701/A270108/27150064/
Art Beat Cafe NAKANOSHIMA（アートビートカフェ ナカノシマ）,大阪府 大阪市福島区 福島 1-1-20,,https://art-beat-cafe.asahi.co.jp/,https://tabelog.com/osaka/A2701/A270108/27139235/
千鳥屋 福島店,大阪府 大阪市福島区 福島 5-11-23,06-6458-2166,,https://tabelog.com/osaka/A2701/A270108/27059642/
割烹 加津屋（かっぽう かつや）,大阪府 大阪市福島区 福島 8-20-3,06-6451-7739,http://kappou-katsuya.jp,https://tabelog.com/osaka/A2701/A270108/27001190/
大酒家,大阪府 大阪市福島区 大開 1-15-29 カーサアステリア野田阪神101号,06-7713-0632,,https://tabelog.com/osaka/A2701/A270108/27106803/
花くじら 本店（はなくじら）,大阪府 大阪市福島区 福島 2-8-2,06-6453-7486,http://hanakujira.com/,https://tabelog.com/osaka/A2701/A270108/27001230/
韓国食堂 入ル の（カンコクショクドウイルノ）,大阪府 大阪市福島区 福島 5-13-1,06-7777-5729,https://www.somegettown.co.jp,https://tabelog.com/osaka/A2701/A270108/27145196/
餃子の王将 玉川店,大阪府 大阪市福島区 吉野 3-8-1,06-6465-0950,http://www.ohsho.co.jp,https://tabelog.com/osaka/A2701/A270108/27044394/
堀忠,大阪府 大阪市福島区 野田 4-6-24,06-6467-6550,http://blueocean-inc.jp/wordpress/?cat=5,https://tabelog.com/osaka/A2701/A270108/27067842/
すじ平 新福島店（すじへい）,大阪府 大阪市福島区 福島 2-10-22,06-6451-0218,,https://tabelog.com/osaka/A2701/A270108/27014173/
炭火焼鳥とり央,大阪府 大阪市福島区 福島 2-7-17 1F,06-6147-8280,,https://tabelog.com/osaka/A2701/A270108/27103401/
カフェ&ランチ アデル,大阪府 大阪市北区 大淀南 2-8-2 グロース富士 1F,070-2183-4935,,https://tabelog.com/osaka/A2701/A270108/27080746/
こがらや 福島店（ 【旧店名】小雀弥）,大阪府 大阪市福島区 玉川 4-10-2,06-6225-3111,http://kogaraya.jp/fukushima/,https://tabelog.com/osaka/A2701/A270108/27049759/
ワインバー異端,大阪府 大阪市福島区 福島 6-12-19,070-8487-8390,,https://tabelog.com/osaka/A2701/A270108/27129409/
壺天 福島店（こてん）,大阪府 大阪市北区 大淀南 2-6-1 グリーンハイツ淀　１Ｆ,06-6458-2581,https://website-431412586539782447248-1.business.site/?m=true,https://tabelog.com/osaka/A2701/A270108/27006083/
モスバーガー JR福島駅前店（MOS BURGER）,大阪府 大阪市福島区 福島 7-11-52,06-6940-6950,,https://tabelog.com/osaka/A2701/A270108/27079075/
のだ麺 ～縁～,大阪府 大阪市福島区 吉野 1-19-10,,,https://tabelog.com/osaka/A2701/A270108/27143083/
FISH ＆ MEAT HANDS,大阪府 大阪市福島区 福島 5-14-9,06-6225-7296,https://www.fukushima-hands.jp/,https://tabelog.com/osaka/A2701/A270108/27106549/
ウエスト・コースト,大阪府 大阪市福島区 福島 8-17-2,06-6452-5733,,https://tabelog.com/osaka/A2701/A270108/27037569/
餃子や,大阪府 大阪市北区 大淀中 4-11-8,090-9715-6063,,https://tabelog.com/osaka/A2701/A270108/27090090/
あねの元カレ,大阪府 大阪市福島区 福島 7-8-3 福本ビル 1F,06-6690-8558,,https://tabelog.com/osaka/A2701/A270108/27139238/
リーチバー(リーガロイヤルホテル大阪)（Leach Bar）,大阪府 大阪市北区 中之島 5-3-68 リーガロイヤルホテル 大阪 ヴィニェット コレクション 1F,06-6441-0983,http://www.rihga.co.jp/osaka/restaurant/list/leach/index.html,https://tabelog.com/osaka/A2701/A270108/27002773/
かちがらす 福島店,大阪府 大阪市福島区 福島 7-9-1,06-6453-8335,,https://tabelog.com/osaka/A2701/A270108/27013134/
つけ鴨うどん　鴨錦 中央市場店（かもきん）,大阪府 大阪市福島区 野田 1-1-86 大阪市中央卸売市場本場 飲食棟5号,06-6469-7123,http://www.kamokin.jp/index.html,https://tabelog.com/osaka/A2701/A270108/27040857/
阪急OASIS 福島ふくまる通り57店（オアシス）,大阪府 大阪市福島区 福島 5-18-25,06-6442-7631,https://www.hankyu-oasis.com/,https://tabelog.com/osaka/A2701/A270108/27111631/
パネ・ポルチーニ（PANE PORCINI）,大阪府 大阪市福島区 福島 5-10-22,06-6451-8001,https://www.porcini.jp/,https://tabelog.com/osaka/A2701/A270108/27049674/
炭火焼肉ホルモン 肉焼屋 福島野田店,大阪府 大阪市福島区 吉野 2-1-7,06-6443-4129,https://dehorang.co.jp/brand/?id=nikuyakiya,https://tabelog.com/osaka/A2701/A270108/27042906/
cafe 2+6（カフェ ニトロ）,大阪府 大阪市福島区 福島 7-7-19,06-6940-6123,https://www.cafe-nitro.com/menu.html,https://tabelog.com/osaka/A2701/A270108/27136742/
ENISHI 大阪本店（エニシ）,大阪府 大阪市福島区 福島 5-6-5,06-4300-5570,,https://tabelog.com/osaka/A2701/A270108/27127319/
GRACE MAN CAFE（グレース マン カフェ）,大阪府 大阪市福島区 福島 2-7-22,06-6454-1166,https://lit.link/gracemancafe,https://tabelog.com/osaka/A2701/A270108/27137359/
スターバックスコーヒー そよら海老江店（STARBUCKS COFFEE）,大阪府 大阪市福島区 海老江 1-5-52,06-6485-8851,https://www.starbucks.co.jp/,https://tabelog.com/osaka/A2701/A270108/27130204/
Buff 福島店（バフ）,"大阪府 大阪市福島区 福島 7-2 JR高架下16,17号",06-6458-5529,https://www.buff5529.jp/,https://tabelog.com/osaka/A2701/A270108/27082405/
路地裏チャイニーズ 有馬,大阪府 大阪市福島区 福島 5-11-15,050-5595-3858,,https://tabelog.com/osaka/A2701/A270108/27092040/
居酒屋ENO（イザカヤイーノ）,大阪府 大阪市福島区 福島 2-6-6,06-6453-3011,,https://tabelog.com/osaka/A2701/A270108/27046411/
もつ鍋 チャンピオン,大阪府 大阪市福島区 福島 7-8-6,06-6450-1083,https://www.muscle-corporation.com/shop/motsunabe/,https://tabelog.com/osaka/A2701/A270108/27013327/
和ごころ なか道 大開店,大阪府 大阪市福島区 大開 1-19-4 2F,070-8932-4352,,https://tabelog.com/osaka/A2701/A270108/27129471/
月島もんじゃおこげ 大阪福島,大阪府 大阪市福島区 福島 7-1-8,,,https://tabelog.com/osaka/A2701/A270108/27146677/
エルズ キッチン（EL's Kitchen）,大阪府 大阪市福島区 福島 2-1-7 関西電力病院 4F,06-6458-5821,http://kanden-hsp.jp/introduction/facility.html,https://tabelog.com/osaka/A2701/A270108/27091932/
バー ビー アンド ビー（bar B and B）,大阪府 大阪市福島区 福島 5-12-4 コーポ福島　１Ｆ,06-6453-2988,,https://tabelog.com/osaka/A2701/A270108/27014174/
道頓堀 今井 リーガロイヤルホテル店（どうとんぼり いまい）,大阪府 大阪市北区 中之島 5-3-68 リーガロイヤルホテル B1F,06-6448-0880,http://www.d-imai.com/,https://tabelog.com/osaka/A2701/A270108/27000801/
福島 こと,大阪府 大阪市北区 大淀中 3-3-25 西梅田第一マンション 1F,06-6476-8668,,https://tabelog.com/osaka/A2701/A270108/27150231/
串かつ 五右衛門,大阪府 大阪市福島区 吉野 2-13-7,,,https://tabelog.com/osaka/A2701/A270108/27051871/
食パン工房　ラミ 福島本店（Ｌａｍｉｅ）,大阪府 大阪市福島区 鷺洲 1-5-17,06-6450-1976,http://www.lamie.jp/,https://tabelog.com/osaka/A2701/A270108/27017967/
魚のすすめ（produced　by　松宮水産）,大阪府 大阪市福島区 福島 1-4-4 セントラル70　1F,050-5593-8825,https://sakananosusume.com,https://tabelog.com/osaka/A2701/A270108/27045034/
てんぷら 敬,大阪府 大阪市福島区 福島 8-13-6,06-6453-3950,http://tempura-kei.com/index.php,https://tabelog.com/osaka/A2701/A270108/27040202/
キャスロゥルクラブ,大阪府 大阪市福島区 福島 2－2－23,06-6451-1366,http://www.casserole-club.com/web/,https://tabelog.com/osaka/A2701/A270108/27020025/
みつ星製麺所 福島本店,大阪府 大阪市福島区 福島 7-17-21 ベルメゾン福島1F,06-6451-9915,,https://tabelog.com/osaka/A2701/A270108/27057392/
スープルヴァンヌフ（Souple 29）,大阪府 大阪市北区 中之島 3-6-32 ダイビル本館 1F,06-6446-2929,http://www.wassys.co.jp/souple29/,https://tabelog.com/osaka/A2701/A270108/27073588/
いざかや ひとえに,大阪府 大阪市福島区 福島 5-17-20 1F,,,https://tabelog.com/osaka/A2701/A270108/27137346/
浪芳庵 福島駅前店,大阪府 大阪市福島区 福島 5-15-6,06-6476-8678,https://namiyoshian.jp,https://tabelog.com/osaka/A2701/A270108/27119446/
Bar Smile（バー・スマイル）,大阪府 大阪市福島区 福島 7-11-51,06-6453-8072,http://www.barsmile-massan.com/,https://tabelog.com/osaka/A2701/A270108/27009291/
すしと酒スイッチ,大阪府 大阪市福島区 福島 2-8-15,06-6147-6975,,https://tabelog.com/osaka/A2701/A270108/27134880/
こうふく,大阪府 大阪市福島区 吉野 2-13-7,090-9278-7325,,https://tabelog.com/osaka/A2701/A270108/27060014/
ラ・テーム,大阪府 大阪市福島区 福島 2-10-19 メガロコープ福島１F,06-6452-2527,,https://tabelog.com/osaka/A2701/A270108/27039017/
お好み焼き ねぎ吉（沖縄）,大阪府 大阪市福島区 福島 3-6-22 1階,06-6458-2414,,https://tabelog.com/osaka/A2701/A270108/27014710/
大宇 そば処なか野,大阪府 大阪市北区 中之島 6-2-27 中之島センタービル B1F,06-6441-0356,,https://tabelog.com/osaka/A2701/A270108/27073165/
鳴門鯛焼本舗 阪神福島駅前店,大阪府 大阪市福島区 福島 5-8-11,06-6136-3350,,https://tabelog.com/osaka/A2701/A270108/27077379/
鷺洲 パープル,大阪府 大阪市福島区 鷺洲 2-12-1,06-6459-7564,,https://tabelog.com/osaka/A2701/A270108/27122349/
手打ちそば 谷谷（タニヤ）,大阪府 大阪市福島区 海老江 2-4-10,,,https://tabelog.com/osaka/A2701/A270108/27127060/
炭火焼肉海老洲,大阪府 大阪市福島区 海老江 2-9-15,06-6452-1965,https://yakiniku-ebisu.com/,https://tabelog.com/osaka/A2701/A270108/27049132/
立寄処 桜子（【旧店名】福島 立呑み割烹 酒立ち屋）,大阪府 大阪市福島区 福島 5丁目10-14 柳田ビル 1F,080-4390-3902,https://sakuraya-gr.com,https://tabelog.com/osaka/A2701/A270108/27095196/
カレーハウスT&A 福島西店（ティーアンドエー）,大阪府 大阪市福島区 吉野 1-8-12 パインスクエア 1F,06-6443-6337,,https://tabelog.com/osaka/A2701/A270108/27049202/
一十（イチジュウ）,大阪府 大阪市福島区 福島 8-17-5,06-6442-0423,,https://tabelog.com/osaka/A2701/A270108/27085273/
パティスリークロシェ（Patisserie Crochet）,大阪府 大阪市福島区 福島 7-4-9 プレステル福島 1F,06-6454-4660,http://p-crochet.jp/,https://tabelog.com/osaka/A2701/A270108/27076035/
Bar Red Canyon（バー レッド キャニオン）,大阪府 大阪市福島区 福島 8-17-3 2F,090-8307-2639,,https://tabelog.com/osaka/A2701/A270108/27138015/
赤から 大阪福島店,大阪府 大阪市福島区 福島 5-9-11,06-6450-1755,https://www.akakara.jp/,https://tabelog.com/osaka/A2701/A270108/27050928/
立呑処ヒノエ,大阪府 大阪市福島区 福島 1-6-4,06-6147-6677,,https://tabelog.com/osaka/A2701/A270108/27098767/
食×酒 縁,大阪府 大阪市福島区 海老江 5-1-7,06-6451-8008,,https://tabelog.com/osaka/A2701/A270108/27144172/
炭火と酒とげんげん,大阪府 大阪市福島区 吉野 3-1-41,06-6468-5006,,https://tabelog.com/osaka/A2701/A270108/27118968/
地中海料理とワイン マルガリータ 野田,大阪府 大阪市福島区 吉野 3-7-11,06-6468-5750,https://www.aimania.co.jp/Restaurant/Margarita.html,https://tabelog.com/osaka/A2701/A270108/27063635/
タリーズコーヒー 野田阪神ウイステ店（TULLY'S COFFEE）,大阪府 大阪市福島区 海老江 1-1-23 野田阪神ウイステ 1F,06-6147-7808,,https://tabelog.com/osaka/A2701/A270108/27119955/
炉ばたとおでん きたざわ,大阪府 大阪市福島区 福島 5-6-18 平山ビル 2F,06-6616-8656,https://robatatooden-kitazawa.com/,https://tabelog.com/osaka/A2701/A270108/27142307/
もぐら（moぐら）,大阪府 大阪市福島区 福島 7-7-1 聖天ビル 1F,06-6453-9494,,https://tabelog.com/osaka/A2701/A270108/27065047/
お多福,大阪府 大阪市福島区 吉野 2-13-14,,,https://tabelog.com/osaka/A2701/A270108/27077517/
cafe＆dining marina （カフェ＆ダイニング マリナ）,大阪府 大阪市福島区 吉野 2丁目14-16,06-6443-6266,,https://tabelog.com/osaka/A2701/A270108/27019262/
八金 福島店,大阪府 大阪市福島区 福島 5-10-19,06-6458-0802,,https://tabelog.com/osaka/A2701/A270108/27052942/
ヴィ･ド･フランス 阪神野田店（VIE DE FRANCE）,大阪府 大阪市福島区 海老江 1-1-1 野田阪神駅アプラ 1F,06-6455-2520,,https://tabelog.com/osaka/A2701/A270108/27045189/
神戸吉兆 リーガロイヤルホテル店（きっちょう）,大阪府 大阪市北区 中之島 5-3-68 リーガロイヤルホテル B1F,06-6448-3168,http://www.kitcho.com/,https://tabelog.com/osaka/A2701/A270108/27000802/
力餅食堂,大阪府 大阪市福島区 吉野 1丁目21-10,06-6443-6200,,https://tabelog.com/osaka/A2701/A270108/27052199/
whisky bar nova（ウイスキーバー ノヴァ【旧店名】トバリ）,大阪府 大阪市福島区 福島 5-9-15 正和ビル 1F,080-2376-3146,,https://tabelog.com/osaka/A2701/A270108/27115306/
パリアッシュ（PARIS,大阪府 大阪市北区 中之島 3-6-32 ダイビル本館 1F,06-6479-3577,https://fourdeh.exblog.jp/,https://tabelog.com/osaka/A2701/A270108/27074010/
ベイク メリー キッチン（BAKE MERRY KITCHEN）,大阪府 大阪市福島区 鷺洲 2-7-12 実積ビル 1F,,,https://tabelog.com/osaka/A2701/A270108/27100877/
ミスタードーナツ 福島大開ショップ,大阪府 大阪市福島区 大開 4丁目1番142号,06-4804-6788,http://www.misterdonut.jp/,https://tabelog.com/osaka/A2701/A270108/27062555/
鮨 いとう,大阪府 大阪市福島区 福島 7-8-3 福本ビル 1F,06-4256-8758,,https://tabelog.com/osaka/A2701/A270108/27124066/
六つ車,大阪府 大阪市福島区 吉野 3丁目8-5,06-6465-6600,,https://tabelog.com/osaka/A2701/A270108/27049908/
双葉寿司,大阪府 大阪市福島区 福島 2-8-20,06-6451-0377,,https://tabelog.com/osaka/A2701/A270108/27026088/
鳥貴族 野田店（とりきぞく）,大阪府 大阪市福島区 野田 3-6-18,06-6463-8185,https://www.torikizoku.co.jp/shops/detail/0028,https://tabelog.com/osaka/A2701/A270108/27026851/
炭火 串焼や れんと,大阪府 大阪市福島区 福島 1-6-18 クリスタルハウス 1F,06-4300-7151,https://kushiyaki-rento.com/page02,https://tabelog.com/osaka/A2701/A270108/27111220/
バー カバレロ（BAR CABALLERO）,大阪府 大阪市福島区 福島 5-6-16 ホテル阪神大阪 7F,06-6344-1661,http://www.hanshin.co.jp/hotel/,https://tabelog.com/osaka/A2701/A270108/27014215/
ホットサンド専門店 'OHANABATAKE 大阪福島店（オハナバタケ）,大阪府 大阪市福島区 福島 5-6-30 ヴィラ福島 1F,080-2952-6877,,https://tabelog.com/osaka/A2701/A270108/27134698/
たこやき風風 野田阪神2号店,大阪府 大阪市福島区 吉野 2丁目15-14,06-6444-2255,,https://tabelog.com/osaka/A2701/A270108/27062238/
dasiyaふぁ～る,大阪府 大阪市福島区 大開 1-13-2,06-6225-8876,,https://tabelog.com/osaka/A2701/A270108/27114520/
寿司割烹 もり（すしかっぽうもり）,大阪府 大阪市福島区 大開 1-13-13,050-5590-8112,,https://tabelog.com/osaka/A2701/A270108/27046412/
大阪食酒　リエカオ（Riekao）,大阪府 大阪市福島区 鷺洲 2-14-23,06-4797-6094,,https://tabelog.com/osaka/A2701/A270108/27072809/
中華　信さん 野田店,大阪府 大阪市福島区 大開 1-15-32,06-6468-6770,,https://tabelog.com/osaka/A2701/A270108/27020528/
PAUSE COFFEE,大阪府 大阪市福島区 福島 6-12-19,06-7221-0051,http://pause--coffee.com/,https://tabelog.com/osaka/A2701/A270108/27114730/
家族亭 野田阪神店,大阪府 大阪市福島区 海老江 1-1 野田阪神駅前ウィステ4F,06-6457-0933,http://kazokutei.co.jp/,https://tabelog.com/osaka/A2701/A270108/27052391/
バランス食堂 七源 福島店（baransusyokudou nanagen）,大阪府 大阪市福島区 福島 3-11-26,06-6454-0858,https://nanagen-balance.com/,https://tabelog.com/osaka/A2701/A270108/27120403/
ざこば鮨本店,大阪府 大阪市福島区 野田 4-3-24,06-6461-1625,,https://tabelog.com/osaka/A2701/A270108/27056679/
ニブタ食堂,大阪府 大阪市福島区 野田 3-6-20 野田山真ビル 1F,070-1735-4756,,https://tabelog.com/osaka/A2701/A270108/27147761/
セラーバー(リーガロイヤルホテル大阪)（CELLAR BAR）,大阪府 大阪市北区 中之島 5-3-68 リーガロイヤルホテル 大阪 ヴィニェット コレクション B2F,06-6448-0327,http://www.rihga.co.jp/osaka/restaurant/list/cellar/index.html,https://tabelog.com/osaka/A2701/A270108/27002774/
やまとラーメン 香雲堂  野田阪神店（コウウンドウ）,大阪府 大阪市福島区 吉野 2-15-20,06-6444-1171,https://www.yamato-ramen.com/,https://tabelog.com/osaka/A2701/A270108/27074427/
ダイガク（DAIGAKU）,大阪府 大阪市福島区 吉野 2-13-7 川田ビル 2F,06-6459-7797,,https://tabelog.com/osaka/A2701/A270108/27115272/
インディアンダイニング ダルシャナ（Darshana）,大阪府 大阪市福島区 吉野 2-1-10 ＪＲ環状線高架下１Ｆ,06-6449-8777,,https://tabelog.com/osaka/A2701/A270108/27057940/
牛屋が恋した牛骨ラーメン,大阪府 大阪市福島区 福島 7-8-3 福本ビル 3F,06-6442-0220,,https://tabelog.com/osaka/A2701/A270108/27138455/
はっちゃん,大阪府 大阪市福島区 福島 8-18-1,06-6458-6838,,https://tabelog.com/osaka/A2701/A270108/27053495/
珈琲喫茶店 ピノキオ 福島店,大阪府 大阪市福島区 福島 7-14-9,06-6346-1270,,https://tabelog.com/osaka/A2701/A270108/27125573/
クレディス コーヒー 野田駅店（CREDIS COFFEE）,大阪府 大阪市福島区 吉野 3-1-12,080-3605-5177,,https://tabelog.com/osaka/A2701/A270108/27109417/
ぽんぐさ,大阪府 大阪市福島区 福島 5-1-22,06-6450-1600,http://g.pia.co.jp/shop/927306,https://tabelog.com/osaka/A2701/A270108/27040396/
ダーズ カフェ（DAH'S CAFFE`）,大阪府 大阪市福島区 野田 3-2-16,06-6461-6466,https://shuplace.com/coffee/,https://tabelog.com/osaka/A2701/A270108/27041929/
痺れ屋,大阪府 大阪市福島区 福島 1-7-21 BONビル 1F,,https://sora-homare.com/,https://tabelog.com/osaka/A2701/A270108/27151473/
STANDARD DONUTS（スタンダード ドーナツ）,大阪府 大阪市福島区 福島 1-2-23 ミモザビル 1F,06-6459-7940,https://standard-donuts.com/,https://tabelog.com/osaka/A2701/A270108/27142437/
NONNA（ノンナ）,大阪府 大阪市福島区 福島 7-13-5 コーポ福島２　１Ｆ,06-6453-3118,,https://tabelog.com/osaka/A2701/A270108/27007698/
スパイスカリー 大陸,大阪府 大阪市福島区 福島 2-9-23,06-7508-1508,https://www.u-en.jp/spicecurrytairiku,https://tabelog.com/osaka/A2701/A270108/27093666/
ラーメン食堂オムたす,大阪府 大阪市福島区 福島 7-21-3,06-7653-9209,,https://tabelog.com/osaka/A2701/A270108/27141618/
牛雲,大阪府 大阪市福島区 鷺洲 2-6-20 2F,06-6346-1310,,https://tabelog.com/osaka/A2701/A270108/27124291/
原パン工房,大阪府 大阪市福島区 福島 8-2-6,06-6455-6038,,https://tabelog.com/osaka/A2701/A270108/27014723/
圄武,大阪府 大阪市福島区 鷺洲 1丁目10-12,,,https://tabelog.com/osaka/A2701/A270108/27051859/
ワイン食堂 ビストロJIN,大阪府 大阪市福島区 大開 1-20-6,06-7182-3228,https://www.bistrojin.jp/,https://tabelog.com/osaka/A2701/A270108/27087606/
日本酒・おでん  ト18食堂（トノジュウハチバン食堂）,大阪府 大阪市福島区 鷺洲 2-10-1,050-5596-4480,,https://tabelog.com/osaka/A2701/A270108/27101060/
初雪食堂,大阪府 大阪市福島区 福島 1-5-17 吉田ビル 1F,06-6459-7885,,https://tabelog.com/osaka/A2701/A270108/27063515/
出入橋 助六（でいりばし すけろく）,大阪府 大阪市北区 堂島 3-2-4,06-6341-0767,,https://tabelog.com/osaka/A2701/A270108/27002012/
沖濱そば,大阪府 大阪市福島区 福島 6-20-19 コーポ盛乃 1F,06-6225-7922,https://freeee.theshop.jp,https://tabelog.com/osaka/A2701/A270108/27068211/
ヴィンテージ（VINTAGE）,大阪府 大阪市福島区 福島 2-8-20,06-6345-2213,,https://tabelog.com/osaka/A2701/A270108/27031665/
マルジー餃子（MARU,大阪府 大阪市福島区 福島 5-6-6,06-6454-0702,,https://tabelog.com/osaka/A2701/A270108/27078194/
グリルニュートモヒロ,大阪府 大阪市福島区 鷺洲 2-7-16,06-6451-5384,http://www.shoutendori.com/shop/tomohiro.html,https://tabelog.com/osaka/A2701/A270108/27003155/
バー マル（Bar Maru）,大阪府 大阪市福島区 福島 5-13-2 1F,06-6452-2500,,https://tabelog.com/osaka/A2701/A270108/27059015/
龍（リュウ）,大阪府 大阪市福島区 福島 2-8-10,06-6131-9066,,https://tabelog.com/osaka/A2701/A270108/27078214/
